Date,Price
2016-01-20,20.82
2016-01-21,21.14
2016-01-22,22.23
2016-01-25,22.87
2016-01-27,23.11
2016-01-28,22.81
2016-01-29,22.4
2016-02-01,22.37
2016-02-02,20.77
2016-02-03,20.1
2016-02-04,20.27
2016-02-05,20.98
2016-02-08,21.0
2016-02-09,21.13
2016-02-10,21.15
2016-02-11,20.14
2016-02-12,19.51
2016-02-15,22.13
2016-02-16,21.97
2016-02-17,22.54
2016-02-18,22.51
2016-02-19,22.72
2016-02-22,22.9
2016-02-23,22.75
2016-02-24,22.24
2016-02-25,22.26
2016-02-26,22.29
2016-02-29,22.35
2016-03-01,23.06
2016-03-02,24.01
2016-03-03,25.76
2016-03-04,25.89
2016-03-08,26.18
2016-03-09,26.5
2016-03-10,26.62
2016-03-11,26.38
2016-03-14,26.62
2016-03-15,26.96
2016-03-16,26.87
2016-03-17,26.55
2016-03-18,27.11
2016-03-21,27.24
2016-03-22,27.8
2016-03-23,28.46
2016-03-28,26.84
2016-03-29,27.26
2016-03-30,29.1
2016-03-31,28.68
2016-04-01,28.51
2016-04-04,28.74
2016-04-05,28.02
2016-04-06,29.48
2016-04-07,29.04
2016-04-08,28.9
2016-04-11,29.71
2016-04-12,29.12
2016-04-13,29.86
2016-04-18,30.11
2016-04-20,32.07
2016-04-21,31.81
2016-04-22,31.73
2016-04-25,31.17
2016-04-26,32.17
2016-04-27,32.01
2016-04-28,31.19
2016-04-29,31.5
2016-05-02,31.13
2016-05-03,31.3
2016-05-04,29.5
2016-05-05,29.77
2016-05-06,29.55
2016-05-09,29.49
2016-05-10,29.43
2016-05-11,29.59
2016-05-12,29.66
2016-05-13,28.95
2016-05-16,29.29
2016-05-17,29.35
2016-05-18,29.52
2016-05-19,29.27
2016-05-20,28.95
2016-05-23,28.13
2016-05-24,28.51
2016-05-25,29.12
2016-05-26,29.18
2016-05-27,29.57
2016-05-30,28.92
2016-05-31,30.0
2016-06-01,29.8
2016-06-02,30.56
2016-06-03,30.38
2016-06-06,30.31
2016-06-07,30.74
2016-06-08,30.64
2016-06-09,30.69
2016-06-10,30.0
2016-06-13,28.99
2016-06-14,29.16
2016-06-15,29.63
2016-06-16,29.65
2016-06-17,29.2
2016-06-20,30.17
2016-06-21,29.97
2016-06-22,29.83
2016-06-23,29.96
2016-06-24,28.05
2016-06-27,27.86
2016-06-28,27.95
2016-06-29,28.14
2016-06-30,28.89
2016-07-01,29.44
2016-07-04,29.72
2016-07-05,29.94
2016-07-07,28.51
2016-07-08,28.56
2016-07-11,29.34
2016-07-12,30.71
2016-07-13,32.1
2016-07-14,32.24
2016-07-15,33.46
2016-07-18,32.81
2016-07-19,33.22
2016-07-20,33.06
2016-07-21,32.51
2016-07-22,32.79
2016-07-25,32.63
2016-07-26,33.0
2016-07-27,32.57
2016-07-28,31.39
2016-07-29,31.86
2016-08-01,32.74
2016-08-02,32.47
2016-08-03,32.13
2016-08-04,33.54
2016-08-05,34.25
2016-08-08,34.05
2016-08-09,33.68
2016-08-10,33.22
2016-08-11,33.05
2016-08-12,33.62
2016-08-16,34.02
2016-08-17,35.16
2016-08-18,34.74
2016-08-19,35.18
2016-08-22,34.83
2016-08-23,34.56
2016-08-24,34.09
2016-08-25,33.4
2016-08-26,33.15
2016-08-29,33.53
2016-08-30,33.89
2016-08-31,33.21
2016-09-01,33.61
2016-09-02,33.57
2016-09-06,34.61
2016-09-07,34.99
2016-09-08,36.16
2016-09-09,35.4
2016-09-12,33.49
2016-09-14,33.55
2016-09-15,32.87
2016-09-16,32.2
2016-09-19,32.45
2016-09-20,32.8
2016-09-21,33.18
2016-09-22,33.85
2016-09-23,33.38
2016-09-26,33.18
2016-09-27,33.01
2016-09-28,34.13
2016-09-29,33.09
2016-09-30,33.58
2016-10-03,34.35
2016-10-04,35.1
2016-10-05,35.05
2016-10-06,34.98
2016-10-07,36.48
2016-10-10,37.54
2016-10-13,37.13
2016-10-14,36.99
2016-10-17,36.86
2016-10-18,38.13
2016-10-19,38.22
2016-10-20,38.45
2016-10-21,38.33
2016-10-24,38.23
2016-10-25,37.26
2016-10-26,35.76
2016-10-27,35.63
2016-10-28,36.38
2016-10-30,36.31
2016-11-01,37.48
2016-11-02,37.09
2016-11-03,36.19
2016-11-04,36.17
2016-11-07,37.02
2016-11-08,36.67
2016-11-09,35.83
2016-11-10,39.21
2016-11-11,38.27
2016-11-15,35.27
2016-11-16,35.24
2016-11-17,35.24
